,context,question,answer,source_doc
0,"The insurance industry safeguards the assets of its policyholders by transferring risk from an individual or business to an insurance company. Insurance companies act as financial intermediaries in that they invest the premiums they collect for providing this service. Insurance company size is usually measured by net premiums written, that is, premium revenues less amounts paid for reinsurance. There are three main insurance sectors: property/casualty, life/health and health insurance. Property/casualty (P/C) consists mainly of auto, home and commercial insurance. Life/health (L/H) consists mainly of life insurance and annuity products. Health insurance is offered by private health insurance companies and some L/H and P/C insurers, as well as by government programs such as Medicare.","What are the three main sectors of the insurance industry, and what types of insurance are typically included in each sector?","The three main sectors are property/casualty (auto, home, commercial), life/health (life insurance, annuities), and health insurance (offered by private companies and government programs like Medicare).",Insurance_Handbook_20103
1,"As assumers of risk, insurers seek to mitigate potential losses every day through a process known as risk management. Since climate change could lead to losses on a scale never before experienced, insurers are not waiting for researchers to produce all the answers. A 2009 report by Ceres, a network of companies concerned about global warming, identified some 244 insurancerelated organizations in 29 countries that were working in 2008 to find solutions to the threat posed by greenhouse gas emissions, up from 190 groups in 26 countries in 2007. Insurers are also redoubling their efforts in the more traditional areas of risk management, including alerting policyholders to the potential for lawsuits for failure to protect against or disclose possible harm to the environment.",How are insurers responding to the financial risks posed by climate change?,"Insurers are actively managing climate change risks through risk management strategies, including collaborations to find solutions and increased efforts in traditional risk management areas, such as alerting policyholders to potential environmental lawsuits.",Insurance_Handbook_20103
2,"Some businesses involve services such as giving advice, making recommendations, designing things, providing physical care or representing the needs of others, which can lead to being sued by customers, clients or patients claiming that the business' failure to perform a job properly has injured them. Errors and omissions or professional liability insurance covers these situations. The policy will pay any judgment for which the insured is legally liable, up to the policy limit. It also provides legal defense costs, even when there has been no wrongdoing.","What types of situations does errors and omissions or professional liability insurance cover, and what does the policy typically provide?","It covers situations where businesses fail to perform a job properly, leading to lawsuits.  The policy pays judgments up to the limit and covers legal defense costs, even without wrongdoing.",Insurance_Handbook_20103
3,"According to an April 2009 Property Casualty Insurers of America (PCI) release, the recent economic downturn did not have the negative effect on credit scores that some people predicted. Major consumer credit reporting agencies such as Fair Isaac and TransUnion have reported that average scores remain steady or have improved, possibly because consumers are saving more and paying off debt. Despite the economy and credit crisis, no state has made regulatory changes to insurers' use of insurance scores, PCI notes.","What was the impact of the 2009 economic downturn on consumer credit scores, and how did this affect insurance regulation?","Contrary to some predictions, the 2009 economic downturn did not negatively affect credit scores; they remained steady or improved.  No state changed regulations regarding insurers' use of insurance scores.",Insurance_Handbook_20103
4,"With limited growth prospects in the insurance markets of developed countries, which are largely saturated, insurers see microinsurance in emerging economies as presenting significant potential for growth and profitability. A 2009 Swiss Re report on world insurance markets found that premium growth in emerging markets far outpaced growth in industrialized countries in 2008. The study identified the following regions as 'emerging markets': Latin America, Central and Eastern Europe, South and East Asia, the Middle East (excluding Israel) and Central Asia, Turkey and Africa.","According to a 2009 Swiss Re report, which regions were identified as emerging markets with significant potential for microinsurance growth?","The report identified Latin America, Central and Eastern Europe, South and East Asia, the Middle East (excluding Israel), Central Asia, Turkey, and Africa as emerging markets with significant potential for microinsurance growth.",Insurance_Handbook_20103
5,"1992, EVENT = Montana became the first state to forbid discrimination by sex in the setting of insurance rates.  European Union's Third Nonlife Insurance Directive became effective, establishing a single. 1996, EVENT = Florida enacted rules requiring insurers to offer separate deductibles for hurricane losses, marking  a shift to hurricane deductibles based on a percentage of loss rather than a set dollar figure.  Catastrophe bonds, vehicles for covering disaster risk in the capital markets, were introduced.. 1997, EVENT = World Trade Organization agreement to dismantle barriers to trade in financial services, including  insurance, banking and securities, was signed by the United States and some 100 other countries.. 1999, EVENT = Financial Services Modernization Act (Gramm-Leach-Bliley) enacted, allowing insurers, banks and  securities firms to affiliate under a financial holding company structure.. 2001, EVENT = Terrorist attacks upon the World Trade Center in New York City and the Pentagon in  Washington, D.C. caused about $40 billion in insured losses.. 2002, EVENT = . , EVENT = Terrorism Risk Insurance Act enacted to provide a temporary federal backstop for terrorism  insurance losses.. 2003, EVENT = In a landmark ruling, upheld in 2004, the U.S. Supreme Court placed limits on punitive damages,  holding in State Farm v. Campbell that punitive damages awards should generally not exceed  nine times compensatory awards.. 2004, EVENT = New York Attorney General Eliot Spitzer and a number of state regulators launched investigations  into insurance industry sales and accounting practices.. 2005, EVENT = Citigroup sold off its Travelers life insurance unit, following the spin off of its property/casualty  business in 2002. This dissolved the arrangement that led to the passage of Gramm-Leach-Bliley  in 1999.. , EVENT = The federal Class Action Fairness Act moved most class-action lawsuits to federal courts, offering  the prospect of lower defense costs and fewer and less costly verdicts.. , EVENT = A string of hurricanes, including Hurricane Katrina, hit the Gulf Coast, making 2005 the most  active hurricane season.. 2006, EVENT = Massachusetts became the first state to pass a universal health insurance law.. 2007, EVENT = Florida passed legislation shifting more of the cost of paying for hurricane damage from private  insurers to the state.. , EVENT = Washington became the first state to ban the practice of texting with a cellphone while driving.. 2008, EVENT = The Federal Reserve Bank acquired a 79 percent stake in American International Group (AIG) in  exchange for an $85 billion loan, which was subsequently increased and restructured.. 2010, EVENT = Congress enacted an overhaul of the nation's health care system, expanding access to medical  insurance.","What significant event related to the insurance industry occurred in 2005, and what were its consequences?","In 2005, Hurricane Katrina and other hurricanes caused the most active hurricane season, leading to significant insured losses.  Additionally, the Class Action Fairness Act was passed, potentially impacting insurance litigation costs. Citigroup also sold off its Travelers life insurance unit.",Insurance_Handbook_20103
6,"Choices given to the owner or beneficiary of a life insurance policy regarding the method by which the insurer will pay the policy's proceeds when the policy owner does not receive the benefits in one single payment. Typically, the owner can elect (1) to leave the proceeds with the insurer and earn a specified interest rate, (2) to have the proceeds paid in a series of installments for a pre-selected period, (3) to have the proceeds paid in a pre-selected sum in a series of installments for as long as the proceeds last, or (4) to have the insurer tie payment of the proceeds to the life expectancy of a named individual through a life annuity. Also known as optional modes of settlement. ( See Life annuity)",What choices does a life insurance policy owner have regarding the payment of policy proceeds?,"The owner can choose to leave the proceeds with the insurer to earn interest, receive them in installments over a set period, receive a pre-selected sum in installments until the proceeds are gone, or receive payments tied to a named individual's life expectancy via a life annuity.",Insurance_Handbook_20103
7,"Reinsurance Facilities: Reinsurance facilities exist in North Carolina, New Hampshire and Massachusetts. (In Massachusetts, beginning in April 2008, the reinsurance facility which is known as Commonwealth Automobile Insurers, or CAR, began disbanding over a three-year period as the new 'managed competition' regulations take effect.) An automobile reinsurance facility is an unincorporated, nonprofit entity, through which auto insurers provide coverage and service claims. After issuing a policy, an insurer decides whether to handle the policy as part of its regular 'voluntary business' or transfer it to the reinsurance facility or pool. An insurer is permitted to transfer or 'cede' to the pool a percentage of its policies. Premiums for this portion of business are sent to the pool and companies bill the pool for claims payments and expenses. Profits or losses are shared by all auto insurers licensed in the state.","What is an automobile reinsurance facility, and how do insurers utilize it to manage risk?","It is an unincorporated, nonprofit entity where insurers can transfer a percentage of their policies.  Premiums are sent to the pool, and claims/expenses are billed to it; profits/losses are shared among insurers.",Insurance_Handbook_20103
8,"Any enterprise can be sued. Customers may claim that the business caused them harm as the result of, for example, a defective product, an error in a service or disregard for another person's property. Or a claimant may allege that the business created a hazardous environment. Liability insurance pays damages for which the business is found liable, up to the policy limits, as well as attorneys' fees and other legal defense expenses. It also pays the medical bills of any people injured by, or on the premises of, the business.","What are some common reasons a business might be sued, and what does liability insurance cover in such cases?","Businesses can be sued for defective products, errors in service, property damage, or creating hazardous environments. Liability insurance covers damages, legal fees, and medical bills up to policy limits.",Insurance_Handbook_20103
9,ing a number to each catastrophe. Each claim arising from the event is tagged so that total industrywide losses can be tabulated. The term catastrophe is often used in the property insurance industry in a narrow way to mean a catastrophic event that exceeds a dollar threshold in claims payouts. This figure has changed over the years with inflation and the increase in development of areas subject to natural disasters. Starting in 1997 the catastrophe definition was raised from $5 million to $25 million in insured damage.,"What criteria does the property insurance industry use to define a catastrophe, and how has this definition changed over time?",The property insurance industry defines a catastrophe as a catastrophic event exceeding a dollar threshold in claims payouts.  This threshold was $5 million before 1997 and increased to $25 million afterwards due to inflation and increased development in disaster-prone areas.,Insurance_Handbook_20103
